close,high,low,open,timestamp,volume
29006.31,29022.01,28999.14,28999.63,1609459200,0.86157958
29083.47,29086.9,29007.31,29007.31,1609459260,14.56195084
29035.89,29073.02,29028.14,29069.8,1609459320,3.03030144
29048.13,29069.39,29019,29037.68,1609459380,2.18962055
29045.19,29057.73,29035.61,29048.13,1609459440,1.44653760
28999.5,29023.38,28982.33,29021.86,1609459500,1.06235967
28997.36,29025.68,28996.71,28996.71,1609459560,1.86322186
28990.35,29012.16,28983.04,29000.96,1609459620,1.40150279
28941.55,28993.53,28938.21,28993.53,1609459680,2.27032461
28937.66,28987.85,28910.15,28945.2,1609459740,2.37217921
28925.13,28945.01,28903.28,28932.99,1609459800,1.46820641
28888.34,28936.19,28843.74,28905.23,1609459860,9.89429008
28899.24,28931.49,28893.16,28915.88,1609459920,1.58386373
28811.01,28897.8,28800,28897.8,1609459980,14.01723668
28834.74,28839.99,28774.64,28785.98,1609460040,13.46141688
28825.45,28843.06,28800.92,28812.07,1609460100,1.43738320
28893.34,28893.34,28844.42,28849.06,1609460160,1.15812201
28888.52,28893.34,28858.67,28872.67,1609460220,0.42930128
28898.38,28907.96,28865.5,28893.34,1609460280,5.54608190
28916.52,28916.52,28879.93,28902.03,1609460340,1.94684880
28827.83,28893.72,28810.07,28893.72,1609460400,1.87169104
28852.31,28878.46,28802.97,28819.24,1609460460,7.63363878
28889.32,28889.35,28854.12,28854.12,1609460520,1.71106435
28919.39,28919.39,28867.26,28878.3,1609460580,2.27313407
28907.28,28909.53,28892.38,28893.82,1609460640,2.61633566
28932.43,28932.43,28907.28,28907.28,1609460700,1.29393198
28920.26,28947.7,28898.35,28936.99,1609460760,23.47127269
28914.43,28933.28,28900,28908.8,1609460820,6.59143606
28900.07,28922.59,28895.99,28901.86,1609460880,11.12985453
28910.87,28913.01,28878.41,28896.03,1609460940,5.78596564
28950,28950,28900.11,28900.11,1609461000,12.05414799
28931.21,28969.07,28931.21,28950,1609461060,17.39085988
28947.96,28955.21,28929.73,28938.52,1609461120,6.15567111
28974.79,28974.79,28934.97,28947.96,1609461180,2.49642887
28952.07,28978.54,28937.7,28966.87,1609461240,10.68851586
28999.77,29005.56,28952.46,28952.46,1609461300,17.53539899
29001.18,29001.18,28968.1,28999.77,1609461360,17.97468844
28983.72,29001.18,28981.12,28984.81,1609461420,16.17785554
28971.13,28996.63,28971.13,28983.72,1609461480,13.92509724
28974.45,28974.45,28961.83,28974.45,1609461540,4.29816758
28996.99,28996.99,28967.25,28967.25,1609461600,4.28644870
28986.61,29007.35,28986.61,28996.51,1609461660,22.11847478
28991.31,29003.14,28977.67,29003.14,1609461720,6.57325765
28997.26,29000.61,28990.42,28992.16,1609461780,1.42018380
29017.21,29017.21,28997.26,28997.26,1609461840,1.54483499
28978.01,29017.21,28971.91,29005.98,1609461900,15.53999490
29004.36,29017.21,28978.02,28992.36,1609461960,4.81764318
29022.29,29050,29002.11,29004.36,1609462020,23.70185610
29011.08,29047.09,29009.73,29012.33,1609462080,5.00057495
29023.58,29029.47,29012.53,29012.53,1609462140,1.36741137
29023.71,29039.19,29023.71,29032.19,1609462200,5.46567145
29013.59,29030.48,29010.6,29028.93,1609462260,1.22957967
29049.01,29049.01,29013.59,29013.59,1609462320,1.85024719
29049.6,29063.15,29028.62,29049.01,1609462380,13.55045153
29033.24,29041.11,29018.54,29041.11,1609462440,4.00726841
29026.33,29048.28,29019.62,29030.49,1609462500,2.72147918
29039.46,29048.54,29014.76,29029.22,1609462560,1.65992518
29071.96,29099,29049.88,29067.04,1609462620,8.17561949
29088.01,29097.57,29076.2,29097.47,1609462680,3.57837760
29056.94,29079.93,29053.18,29079.93,1609462740,4.27798978
29047.01,29076.68,29047.01,29070.66,1609462800,6.82027096
29030.04,29048.07,29010.36,29047.01,1609462860,7.01732391
29068.95,29068.97,29039.3,29039.3,1609462920,1.31408146
